"","X","CLUST","NAME","STATE","TIER","ECO3","LATITUDE","LONGITUDE","ELEVATION","PPTWT","logPPTWT","MCMT","MWMT","TD","MAT","ELEVATION_PRISM","medMax","PROP_ZERO","LOCATION","SCALE","SHAPE","EVENT10","EVENT15","EVENT20","EVENT30","EVENT50","RT_I","RT_II","RT_III","RT_IV","RATIO","rawDiff","w2","est_wind_avg","est_temp_avg"
"2905",2905,"8.1.6.0121","DIMONDALE 1 WSW","MI",1,"8.1.6",42.75,-84.75,266.7,146.157904517161,4.98468757505647,-4.98931980602836,21.4896772020854,26.4789969603081,8.67863771320096,263.33353541398,0.539873175372472,0,0.494478393420317,0.183176768239499,0.0407972561816234,19,21,22,24,27,37,45,51,56,1.66666666666667,18,0.317329829444454,3.76020786411941,2.47600986374658
"2906",2906,"8.1.6.0123","DOWAGIAC 1 W","MI",1,"8.1.6",42,-86.25,225.6,185.637713564644,5.22379699779553,-4.28655996168221,22.2856926525348,26.5722523361564,9.46297214959809,224.469216456482,0.643857181789145,0,0.575887973720996,0.202651940910443,0.061941157400863,22,24,26,28,31,42,53,60,68,1.70967741935484,22,0.390305215480611,4.09463492404926,3.3281929153959
"2907",2907,"8.1.6.0126","EAST LANSING EXP FARM","MI",1,"8.1.6",42.75,-84.5,269.6,137.290436712497,4.92209642204545,-5.09494392599514,21.4038437085468,26.4987879793906,8.60332432353468,267.121999856139,0.473239770892437,0,0.397063197821818,0.163685471146285,0.0518363840244942,16,18,19,21,23,33,41,46,52,1.78260869565217,18,0.332082988743068,3.83292435148432,2.50416192626983
"2908",2908,"8.1.6.0128","EATON RAPIDS","MI",1,"8.1.6",42.5,-84.75,265.2,146.202335872616,4.98499152442892,-4.93627997388304,21.4503727006382,26.3866531513584,8.66434794584148,265.881199738045,0.431493879929598,0,0.39883348044495,0.140907064503851,0.0829428987398178,16,17,18,20,22,32,40,46,52,1.81818181818182,18,0.321211727903922,3.78472597207875,2.6334249860372
"2909",2909,"8.1.6.0129","EAU CLAIRE 4 NE","MI",1,"8.1.6",42,-86.25,256,176.484403177668,5.1732325052034,-4.04214091153508,22.5632416690636,26.6053829076328,9.7378991909375,247.789921659053,0.583881410846298,0,0.496731639172911,0.218821723321608,0.0899865644724192,22,24,26,28,32,47,61,70,81,1.90625,29,0.390305215480611,4.09463492404926,3.3281929153959
"2910",2910,"8.1.6.0136","GRAND HAVEN FIRE DEPT","MI",1,"8.1.6",43,-86.25,186.7,154.138122393107,5.03784784568427,-3.51073215535368,21.5646723949219,25.0754048009927,9.23349294022185,182.318639173041,0.512993783904115,0,0.480379012223916,0.299767458694878,0.150463269383569,27,31,33,38,43,75,104,124,145,2.41860465116279,61,0.624431614992386,5.48971939116913,2.73627463002737
"2911",2911,"8.1.6.0137","GRAND RAPIDS SUTRON","MI",1,"8.1.6",43,-85.75,192.3,166.074164423334,5.11243446176475,-4.95507984143433,21.810060650607,26.7651404901341,8.58996031079579,195.471962059784,0.41304299142533,0,0.364550461102624,0.153423115534488,0.147705011800868,16,18,20,22,25,40,53,63,76,2.12,28,0.33002658692135,3.79857399185028,2.5480223507077
"2912",2912,"8.1.6.0139","GULL LAKE BIOLOGICAL STN","MI",1,"8.1.6",42.5,-85.5,281.9,165.478014453779,5.1088383428131,-4.38478405762921,22.2934714790976,26.6782558068073,9.40486387119185,277.704001229742,0.543977494133611,0,0.471988934994443,0.198988294129161,0.0882135964913085,20,22,24,26,29,43,55,63,72,1.89655172413793,26,0.297656610334476,3.66796517046379,2.60546403803301
"2913",2913,"8.1.6.0142","HART 3 WSW","MI",1,"8.1.6",43.75,-86.5,234.7,165.988515668436,5.11191860324304,-4.7476073653654,20.672922722657,25.4205301990074,8.14270465136942,233.671520887332,0.946030012142718,0,0.831003803566158,0.383328725735956,0.0598270983150979,37,41,43,47,53,76,97,109,122,1.83018867924528,44,0.708618764579733,6.15362717116203,1.95536404035096
"2914",2914,"8.1.6.0143","HASTINGS","MI",1,"8.1.6",42.75,-85.25,250.2,162.636317492431,5.09151652698574,-4.75376107524479,21.8256792285466,26.5794402370496,8.89083920584071,248.095918724972,0.466144061543204,0,0.395207273992963,0.173293271017732,0.109390291293578,17,19,21,23,26,39,52,59,69,2,26,0.329989096688701,3.80480862424638,2.51238949758107
"2915",2915,"8.1.6.0146","HILLSDALE","MI",1,"8.1.6",42,-84.75,329.2,167.527565253452,5.12114790640251,-4.99551756452946,21.7755215725185,26.7710390740598,8.86500173789665,332.999616562162,0.407927463726016,0,0.350886834142641,0.134161410298318,0.0884053723605201,14,16,17,18,20,30,39,43,49,1.95,19,0.394228974527887,4.12784207803556,2.57997614145722
"2916",2916,"8.1.6.0148","HOWELL WWTP","MI",1,"8.1.6",42.5,-84,279.5,137.063521053361,4.92044447569609,-4.9947920862766,21.8173196326245,26.812111519774,8.84732031926995,278.894799405622,0.391904642239038,0,0.33119580350748,0.140907939774614,0.0559452364673392,14,15,16,18,20,29,36,40,45,1.8,16,0.320074458826929,3.79196474186595,2.57296681600786
"2917",2917,"8.1.6.0149","IONIA 2SSW","MI",1,"8.1.6",43,-85,245.4,154.85019551653,5.04245816903727,-5.11496999039043,21.5920501191066,26.7070205253144,8.57954999374607,245.420032150737,0.469839448364375,0,0.415027213155659,0.166182368962239,0.0846789425493597,17,19,20,22,25,36,46,52,60,1.84,21,0.317155510735056,3.76170135445809,2.25759388990537
"2918",2918,"8.1.6.0150","KENT CITY 2 SW","MI",1,"8.1.6",43.25,-85.75,256,156.440794130449,5.05267762613657,-4.60943488854146,21.6642952989534,26.2737307844951,8.54308514786157,247.469952788484,0.499019701553384,0,0.435659084391787,0.168998483408514,0.117089898612165,18,20,22,24,27,40,53,61,71,1.96296296296296,26,0.326940184595817,3.7992239267129,2.20937077595039
"2919",2919,"8.1.6.0151","LAPEER WWTP","MI",1,"8.1.6",43,-83.25,251.45,131.757021949572,4.88095896715095,-5.06633202431104,21.4507119163785,26.5170435273671,8.54185609552677,254.00920799495,0.443328194732412,0,0.394087401835681,0.151653948285631,0.00260228967913628,15,17,18,19,21,28,35,38,42,1.66666666666667,14,0.3501295956459,3.93426202616381,2.12862102140292
"2920",2920,"8.1.6.0155","LOWELL 1 SE","MI",1,"8.1.6",43,-85.25,213.35,175.443337297443,5.16731610925299,-5.09871327678068,21.943053834908,27.0417674718572,8.64461973232774,193.040032521201,0.591594525018581,0,0.483448469810427,0.229876581473677,0.0612932462811965,22,24,26,28,31,45,57,63,74,1.83870967741935,26,0.313751196559991,3.7396308343418,2.28214848377905
"2921",2921,"8.1.6.0156","LUDINGTON 4 SE","MI",1,"8.1.6",44,-86.5,210.3,142.357626111385,4.95834238525278,-4.44658751937615,20.3590881491009,24.8056761004535,8.02704420530024,208.789661800024,0.875875692179374,0,0.771905417563089,0.376454102338436,0.0875684992854112,36,40,43,47,53,80,104,118,136,1.9622641509434,51,0.701112279153287,6.11677666766159,1.77364839188664
"2922",2922,"8.1.6.0158","MILFORD GM PROVING GROUND","MI",1,"8.1.6",42.5,-83.75,295.7,153.382605300414,5.03293548811248,-5.0758868598537,21.5708772840804,26.6467639531991,8.66774076117093,299.577088691328,0.422439680053211,0.0131578947368421,0.35271115501258,0.153431207300077,0.0433103515548477,15,16,17,19,21,30,37,41,46,1.76190476190476,16,0.346236502755772,3.91715526814928,2.52863042901748
"2923",2923,"8.1.6.0159","MILLINGTON 3 SE","MI",1,"8.1.6",43.25,-83.5,249.9,141.307277466173,4.95093679201725,-5.20104003799525,21.3448789819927,26.5459197066333,8.41951878399747,240.79238498942,0.513870119154682,0,0.42686481708371,0.179612247865965,0,17,19,20,22,24,32,39,43,47,1.625,15,0.330245938825484,3.83201906687435,2.1223104669823
"2924",2924,"8.1.6.0160","MONTAGUE 4 NW","MI",1,"8.1.6",43.5,-86.5,198.1,124.900932206514,4.82752088072669,-4.20999181201236,20.8079519018032,25.017942983301,8.43997613534878,200.465598326266,0.718931900986867,0,0.606733301228305,0.261907011023618,0.103836856140852,27,30,32,35,39,58,78,89,104,2,39,0.699716663624766,6.04634262953585,2.2009351930256
"2925",2925,"8.1.6.0161","CENTRAL MICHIGAN UNIV","MI",1,"8.1.6",43.5,-84.75,242.3,125.520240952342,4.832467028056,-5.8292435468355,21.2992474838016,27.1284909101232,8.08220714706033,240.714175500111,0.415825720984491,0,0.375401886582749,0.166811749610577,0.0711356196923775,16,18,19,21,24,34,43,49,55,1.79166666666667,19,0.323718109953288,3.80799255478131,1.67439784924613
"2926",2926,"8.1.6.0163","NILES","MI",1,"8.1.6",41.75,-86.25,198.1,188.379172448929,5.23845680639707,-4.42133235025138,22.2678414536804,26.6891742680736,9.38693441401047,200.770814394189,0.512615634232857,0,0.455632174137162,0.175193011659959,0.0963068065603237,19,21,22,24,27,39,51,58,65,1.88888888888889,24,0.350717483274301,3.91464986271301,3.3733991549268
"2927",2927,"8.1.6.0164","GRAND RAPIDS","MI",1,"8.1.6",43,-85.5,236.65,165.845129933438,5.11105440065234,-4.73916905163795,21.8342845017024,26.5734539788928,8.78911133410824,237.476449135268,0.49817782,0,0.435504670696555,0.228608362273962,0.109023661266891,21,24,26,29,32,50,66,77,89,2.0625,34,0.314900463319436,3.74048940394236,2.34115306519692
"2928",2928,"8.1.6.0169","OWOSSO WWTP","MI",1,"8.1.6",43,-84.25,222.5,136.713805536948,4.91788973012255,-5.24959199131365,21.5529520109155,26.8025440022291,8.59586428539676,225.50480084357,0.440888758649755,0,0.373814676479008,0.15763945873784,0.0347341277667146,16,17,18,20,22,30,38,42,46,1.72727272727273,16,0.331964651692913,3.83179031907962,2.32596340869321
"2929",2929,"8.1.6.0171","PAW PAW","MI",1,"8.1.6",42.25,-86,214.9,174.550923043602,5.16221652166999,-4.5599999428004,22.1898805253083,26.7498799912715,9.09992037447092,222.995999740575,0.557536722809325,0,0.526015571642552,0.205848216114987,0.10271148645902,22,24,26,28,32,46,61,70,80,1.90625,29,0.311864928458308,3.73079710426009,2.98244211564429
"2930",2930,"8.1.6.0173","PONTIAC WWTP","MI",1,"8.1.6",42.75,-83.25,271.3,149.317100421779,5.0060722353056,-4.65800817001703,22.085311516011,26.7433198462454,9.09539153379552,271.45283272159,0.400376027433057,0,0.347532954222252,0.137535247359658,0.047759581579991,14,15,16,18,20,28,35,38,43,1.75,15,0.330626267854529,3.85448795278388,2.33938424564985
"2931",2931,"8.1.6.0175","SAINT JOHNS","MI",1,"8.1.6",43,-84.5,226.5,131.920477182739,4.8821992954578,-5.24182509399822,21.6100006103516,26.8518257043498,8.62367997066641,228.021887926762,0.405078837020729,0,0.368795936397219,0.15785265591642,0.0709918785872448,16,17,19,20,23,33,41,47,53,1.78260869565217,18,0.330293650318354,3.82465186917679,2.32049058805245
"2932",2932,"8.1.6.0176","ST JOSEPH","MI",1,"8.1.6",42,-86.5,180.7,152.598830796166,5.02781245693481,-3.37988010179657,22.1701200883294,25.549999242174,9.73983976360809,197.951997117648,0.522042427826597,0,0.439001413845062,0.21051149488535,0.127667288331336,21,23,25,28,31,49,67,79,91,2.16129032258065,36,0.536853092376808,4.88259300980779,3.52529887264973
"2933",2933,"8.1.6.0177","SARANAC","MI",1,"8.1.6",43,-85.25,194.8,163.999999835644,5.09986642682203,-4.9600000399236,21.6900005339986,26.6500015275961,8.64999961675373,250.999999304049,0.429415642937091,0,0.383887732147542,0.187462097438945,0.11012214370479,18,20,22,24,27,42,55,64,75,2.03703703703704,28,0.313751196559991,3.7396308343418,2.28214848377905
"2934",2934,"8.1.6.0178","SCOTTVILLE 1 NE","MI",1,"8.1.6",44,-86.25,207,149.299643086911,5.00595531396567,-5.10007959095029,20.4499206019032,25.5500006620917,7.80000019073486,208.01200001278,0.888400331466844,0,0.682327258943669,0.340887170831164,0.0728577198075624,32,35,38,42,46,68,89,100,115,1.93478260869565,43,0.378378027879016,4.0411914339438,1.7803903582726
